DATE,GOOG,NVDA,AMZN,RPD,SPLK,PYPL,AAPL,SNPS,MU,MSFT
7/19/16,0.009639779,0.010896219,0.010119275,-0.005470901,-0.001203266,0.010211986,0.003108863,0.004222902,0,-0.011610617
7/20/16,0.00522145,0.009636843,0.00230916,0.036561574,0.034545159,0.015348144,-0.00040008,-0.002184202,0.019317094,-0.004283426
7/21/16,-0.002339435,-0.01639992,-0.00411548,-0.034931418,-0.019863143,-0.004971425,-0.00401486,-0.005494519,-0.022506576,-0.003220615
7/22/16,0.001185505,0.023317119,-0.003925909,0.04069891,0.01646477,0.003211994,-0.006063074,0.004571646,-0.00607443,0.008699567
7/25/16,-0.001215855,0.012287831,-0.009339574,0.03221362,0.006036236,0.002119768,-0.009305246,-0.005113232,-0.005730675,0.004593648
7/26/16,-0.000839278,0.008156074,-0.009632761,0.010787591,0.002852112,-0.002385055,-0.001550468,-0.005889949,0.046747263,0.004237294
7/27/16,0.004716066,-0.018731772,-0.001763143,0.013480162,-0.010698865,-0.011221064,-0.012740255,-0.008294214,-0.045462374,-0.007446843
7/28/16,-0.001513782,-0.000177983,0.008848375,-0.014194702,0.020327556,-0.004824453,0.014577658,0.005354024,-0.022907229,0.003742986
7/29/16,-0.005085966,0.012512279,-0.008124417,0.007899502,0.013198325,-0.004554596,0.000191939,-0.003685961,-0.012296719,0.007437612
8/1/16,0.015372181,-0.010695289,0.010303768,-0.006403437,-0.004823936,-0.009934301,0.015585225,0.004225229,-0.018268685,-0.000353419
8/2/16,0.003091393,-0.016985546,-0.004237767,-0.005718386,-0.033112351,-0.01413067,-0.014915015,-0.009194622,-0.01113184,-0.004760654
8/3/16,0.007790426,0.003922972,-0.003201696,0.014878064,0.00734929,-0.000273336,0.00930681,0.00350134,0.017924304,0.005103399
8/4/16,-0.000790242,0.013545814,0.009336667,-0.021839544,-0.005997019,0.012952151,0.002742967,0.0023803,0.030393077,0.010333746
8/5/16,0.010848435,0.005340697,0.001528623,0.009075106,0.005000844,0.014540904,0.011321758,0.002904868,0.020877585,0.005362871
8/8/16,-0.000306952,-0.004416518,-0.000326079,-0.035190119,0.001631588,-0.007358772,0.007874421,-0.00054402,-0.007599346,0
8/9/16,0.004037415,-0.002374492,0.001198151,0.070134554,0.022629057,0.00183896,0.00534465,0.004153505,-0.005509656,0.000515597
8/10/16,0.001185899,-0.015264883,-0.001612107,-0.013414446,-0.005933784,0.001314233,-0.006552559,0.005756447,-0.019526422,-0.002410055
8/11/16,-0.000191101,0.014850087,0.001687019,0.012222732,0.018772425,0.007045039,-0.005451619,0.000178971,0.012552466,0.004641975
8/12/16,0.002198477,0.018249266,0.005321163,0.012207026,0.011115574,0.005468052,0.003704394,-0.002329541,0.031986395,-0.001552126
8/15/16,-0.00167285,-0.00206202,-0.004427457,0.030497916,0.008198669,-0.00233736,0.0123152,0.00375302,0.028741364,0.001894429
8/16/16,-0.004057947,-0.00462189,-0.005976555,0.031000623,-0.013548444,-0.000520969,-0.002283002,-0.00250313,-0.005793386,-0.002955239
8/17/16,0.003326422,-0.023435416,0.000287762,-0.001842187,-0.013845407,-0.007054242,0.001099304,0.00035791,-0.000644122,0.000347524
8/18/16,-0.003223096,0.016889002,0.000601913,0.049052896,0.00833797,0.003932368,-0.001374193,0.012903405,0.014048762,0.003129893
8/19/16,0.000541789,0.003056385,-0.006042633,0.079952524,0.011331126,0.001839443,0.005409631,0.001537279,0.005553856,0.003302915
8/22/16,-0.001449444,0.001120269,0.002610451,-0.033753885,-0.014149346,0.004734359,-0.003220318,0.002737852,0.002473718,0.00121454
8/23/16,-0.004394021,-0.002064312,-0.001127307,0.014069496,0.006342352,-0.014683012,0.002391465,0.005444968,-0.00554701,-0.000172726
8/24/16,-0.001220605,-0.019029918,-0.007564581,-0.034307748,-0.009606519,-0.007699494,-0.00498616,-0.003406578,-0.043526265,0.002591794
8/25/16,0.003137186,-0.006964155,0.004250214,0.033309113,0.011743027,0.000266631,0.001674731,0.002556892,0.018692133,0.004997856
8/26/16,0.000701964,0.005496296,0.011706749,-0.011137744,-0.041505288,-0.001857504,-0.004385358,0.004915681,0.010350169,-0.004298863
8/29/16,0.004426021,-0.004667265,0.003337644,0.00844778,0.014667716,-0.008544778,0.001874064,0.003378952,-0.000591191,-0.001375989
8/30/16,-0.000312008,-0.004532953,-0.004510514,0.006263068,-0.016872342,-0.007002453,0.001888575,-0.006243165,-0.015412279,-0.001553465
8/31/16,5.21E-05,-0.006661817,0.003333857,-0.054682092,-0.006332927,0.004045859,0.004155654,0.003209733,-0.012654583,-0.003301193
9/1/16,-0.000611171,0.028265893,-0.000363278,-0.016997576,0.005687219,-0.011875983,0.005543304,0.003048267,0.001804512,0.01012225
9/2/16,-0.002007162,-0.011922882,-0.002159647,0.014582423,0.015099108,0.001619871,0.000278513,0.005714301,-0.015448911,0
9/6/16,0.008535452,0.005879099,0.01897799,0.016492952,0.023031421,0.003502631,-0.001855288,0.005029348,0.01242252,-0.002946531
